group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,cliff_delta,mannwhitney_u,p_value
Claude,Codex,39509,13085,1.9425381989921064,3.645220096477616,1.4,2.7520577771338424,-0.46087948134230367,139355986.5,0.0
Claude,Copilot,39509,18407,1.9425381989921064,1.8815425084803419,1.4,1.1666666666666667,0.07703990066923554,391634413.5,2.403273777457147e-51
Codex,Copilot,13085,18407,3.645220096477616,1.8815425084803419,2.7520577771338424,1.1666666666666667,0.5150152687962262,182449952.0,0.0
