tool,avg_complexity_count,avg_complexity_mean,avg_complexity_median,avg_complexity_std,avg_complexity_iqr,median_complexity_count,median_complexity_mean,median_complexity_median,median_complexity_std,median_complexity_iqr,avg_loc_count,avg_loc_mean,avg_loc_median,avg_loc_std,avg_loc_iqr,median_loc_count,median_loc_mean,median_loc_median,median_loc_std,median_loc_iqr,files_changed_count_count,files_changed_count_mean,files_changed_count_median,files_changed_count_std,files_changed_count_iqr
copilot,21090,1.652104472200856,1.0,3.0197279732658697,2.15,21090,1.433309663674488,0.6666666666666666,2.9352070602087563,1.8333333333333333,21090,1210.132180427653,195.38095238095238,9209.486614229985,445.45556006493507,21090,948.6161450924609,146.0,9027.428421709701,328.5,21090,7.287624466571835,2.0,50.213096996740475,3.0
claude,40658,1.9085049668086316,1.3727272727272728,2.848253241674166,2.4296848739495798,40658,1.6245224162950533,1.0384615384615383,2.6695288844247207,2.25,40658,783.7577731986732,229.5,6059.079064207633,372.0,40658,584.3576909833243,175.0,5857.374577354283,271.0,40658,7.31728073195927,3.0,27.8720262446257,5.0
codex,17813,2.67769072937796,2.0,3.325399233735623,3.6954907982001575,17813,2.5254962951276965,1.7333333333333334,3.2273576446090186,3.5,17813,254.6360384717495,102.5,577.8222077034923,264.0,17813,234.6055128277101,86.0,570.521411531623,228.0,17813,2.413181384382193,1.0,6.816062579633658,2.0
