tool,avg_complexity_count,avg_complexity_mean,avg_complexity_median,avg_complexity_std,median_complexity_count,median_complexity_mean,median_complexity_median,median_complexity_std,avg_loc_count,avg_loc_mean,avg_loc_median,avg_loc_std,median_loc_count,median_loc_mean,median_loc_median,median_loc_std,files_changed_count_count,files_changed_count_mean,files_changed_count_median,files_changed_count_std,avg_nloc_count,avg_nloc_mean,avg_nloc_median,avg_nloc_std
copilot,20946,1.653468583672188,1.0,3.0274730286662894,20946,1.436232748838457,0.6666666666666666,2.943050083242954,20946,1214.0759694460053,195.59523809523807,9237.884432261313,20946,951.9602788121837,146.0,9055.214839125263,20946,7.130812565644992,2.0,49.52499390627497,0,,,
claude,40125,1.9127163041490127,1.3733258194796656,2.860601022584601,40125,1.6298260928561417,1.04,2.6805936824931713,40125,787.0261103374888,230.0,6095.662848729306,40125,587.7282242990655,176.0,5892.859946917524,40125,7.199626168224299,2.0,27.059799580272337,0,,,
codex,17812,2.6778410600948575,2.0,3.3255254044097,17812,2.5256380813558086,1.7333333333333334,3.2274833603652686,17812,254.16128190530395,102.5,574.3699416345721,17812,234.12963170896026,86.0,567.0070738734137,17812,2.413260723108017,1.0,6.816437032105204,17770,245.18396191881115,102.0,527.3457426554149
