group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,cliff_delta,mannwhitney_u,p_value
Claude,Codex,40185,13086,1.9361783079662498,3.644941537705151,1.4,2.7520256205930647,-0.4620776395035714,141436171.0,0.0
Claude,Copilot,40185,19082,1.9361783079662498,1.8704085816603224,1.4,1.168825910931174,0.07550895419136133,412355602.0,7.6883373698214e-51
Codex,Copilot,13086,19082,3.644941537705151,1.8704085816603224,2.7520256205930647,1.168825910931174,0.5156998529621022,189240471.0,0.0
