repository_owner,repository_name,file_path,filename,original_file_path,repository_url,file_url,branch,stargazers_count,forks_count,created_at,pushed_at,updated_at,lines_of_agents,manifest_specific_commit_count,first_manifest_commit_date,comparable_path,source_dataset,lines_of_claude,lines_of_copilot-instructions,ID,total_repo_commits_after_manifest_initialization,Note,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15,ID,Note,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
sequinstream,sequin,AGENTS.md,AGENTS.md,raw/sequinstream/sequin/AGENTS.md,https://github.com/sequinstream/sequin,https://github.com/sequinstream/sequin/blob/main/AGENTS.md,main,1693.0,95.0,2024-06-26T01:50:46Z,2025-10-06T19:32:31Z,2025-10-17T22:29:31Z,42.0,2,2025-05-19T02:37:39Z,sequinstream/sequin/AGENTS.md,agents,,,11,565,,Build  & Run,Test,Implementation Details,,,,,,,,,,,,,11,,Build  & Run,Test,Implementation Details,,,,,,,,,,,,
gabber235,Typewriter,AGENTS.md,AGENTS.md,raw/gabber235/Typewriter/AGENTS.md,https://github.com/gabber235/Typewriter,https://github.com/gabber235/Typewriter/blob/main/AGENTS.md,main,386.0,95.0,2022-09-11T08:52:08Z,2025-10-14T09:01:00Z,2025-10-14T10:42:41Z,,2,2025-06-09T07:55:10Z,gabber235/Typewriter/AGENTS.md,agents,,,7,159,,Configuration & Environment,Build  & Run,Test,Implementation Details,,,,,,,,,,,,7,,Configuration & Environment,Build  & Run,Test,Implementation Details,,,,,,,,,,,
SwitchbackTech,compass,AGENTS.md,AGENTS.md,raw/SwitchbackTech/compass/AGENTS.md,https://github.com/SwitchbackTech/compass,https://github.com/SwitchbackTech/compass/blob/main/AGENTS.md,main,198.0,48.0,2023-09-27T20:40:53Z,2025-10-18T14:18:30Z,2025-10-17T06:46:44Z,265.0,4,2025-05-21T10:54:34Z,SwitchbackTech/compass/AGENTS.md,agents,,,9,145,,Architecture,Implementation Details,Documentation & References,Configuration & Environment,Test,,,,,,,,,,,9,,Architecture,Implementation Details,Documentation & References,Configuration & Environment,Test,,,,,,,,,,
tracking202,prosper202,AGENTS.md,AGENTS.md,raw/tracking202/prosper202/AGENTS.md,https://github.com/tracking202/prosper202,https://github.com/tracking202/prosper202/blob/master/AGENTS.md,master,11.0,11.0,2010-06-16T02:39:09Z,2025-09-24T20:42:07Z,2025-10-13T08:34:13Z,63.0,2,2025-05-20T07:30:27Z,tracking202/prosper202/AGENTS.md,agents,,,27,92,,System Overview,Architecture,Implementation Details,Test,Documentation & References,Development Process,Maintanability,Claude/AI Integration,,,,,,,,27,,System Overview,Architecture,Implementation Details,Test,Documentation & References,Development Process,Maintanability,Claude/AI Integration,,,,,,,
LocalSymmetry,lofn,AGENTS.md,AGENTS.md,raw/LocalSymmetry/lofn/AGENTS.md,https://github.com/LocalSymmetry/lofn,https://github.com/LocalSymmetry/lofn/blob/main/AGENTS.md,main,13.0,1.0,2024-03-26T20:21:22Z,2025-10-16T23:43:37Z,2025-10-02T14:53:34Z,84.0,3,2025-06-07T22:39:21Z,LocalSymmetry/lofn/AGENTS.md,agents,,,18,232,,System Overview,Architecture,Configuration & Environment,Deployment and Operations,Build  & Run,,,,,,,,,,,18,,System Overview,Architecture,Configuration & Environment,Deployment and Operations,Build  & Run,,,,,,,,,,
Pirate-Weather,pirate-weather-code,AGENTS.md,AGENTS.md,raw/Pirate-Weather/pirate-weather-code/AGENTS.md,https://github.com/Pirate-Weather/pirate-weather-code,https://github.com/Pirate-Weather/pirate-weather-code/blob/main/AGENTS.md,main,36.0,3.0,2024-08-13T19:15:27Z,2025-10-17T22:17:31Z,2025-10-17T22:16:02Z,20.0,1,2025-06-27T18:29:50Z,Pirate-Weather/pirate-weather-code/AGENTS.md,agents,,,21,133,,Maintanability,Implementation Details,Test,,,,,,,,,,,,,21,,Maintanability,Implementation Details,Test,,,,,,,,,,,,
samuelstevens,biobench,AGENTS.md,AGENTS.md,raw/samuelstevens/biobench/AGENTS.md,https://github.com/samuelstevens/biobench,https://github.com/samuelstevens/biobench/blob/main/AGENTS.md,main,8.0,2.0,2024-01-04T18:37:49Z,2025-10-17T21:26:26Z,2025-10-17T21:26:30Z,114.0,2,2025-05-18T21:39:01Z,samuelstevens/biobench/AGENTS.md,agents,,,13,98,,Implementation Details,Debugging,Test,Architecture,Development Process,,,,,,,,,,,13,,Implementation Details,Debugging,Test,Architecture,Development Process,,,,,,,,,,
Pedal-Intelligence,saypi-userscript,CLAUDE.md,CLAUDE.md,raw/Pedal-Intelligence/saypi-userscript/CLAUDE.md,https://github.com/Pedal-Intelligence/saypi-userscript,https://github.com/Pedal-Intelligence/saypi-userscript/blob/main/CLAUDE.md,main,19.0,5.0,2023-07-21T07:53:43Z,2025-10-18T10:00:41Z,2025-10-07T16:07:54Z,,6,2025-06-07T14:15:39Z,Pedal-Intelligence/saypi-userscript/CLAUDE.md,claude,124.0,,100,67,,Build  & Run,Test,Configuration & Environment,Architecture,System Overview,Claude/AI Integration,,,,,,,,,,100,,Build  & Run,Test,Configuration & Environment,Architecture,System Overview,Claude/AI Integration,,,,,,,,,
PrefectHQ,marvin,CLAUDE.md,CLAUDE.md,raw/PrefectHQ/marvin/CLAUDE.md,https://github.com/PrefectHQ/marvin,https://github.com/PrefectHQ/marvin/blob/main/CLAUDE.md,main,5968.0,385.0,2023-03-10T18:44:40Z,2025-10-16T17:33:02Z,2025-10-17T21:40:37Z,,3,2025-06-07T17:17:11Z,PrefectHQ/marvin/CLAUDE.md,claude,48.0,,147,57,,Architecture,System Overview,Development Process,Build  & Run,Configuration & Environment,,,,,,,,,,,147,,Architecture,System Overview,Development Process,Build  & Run,Configuration & Environment,,,,,,,,,,
windmill-labs,windmill,CLAUDE.md,CLAUDE.md,raw/windmill-labs/windmill/CLAUDE.md,https://github.com/windmill-labs/windmill,https://github.com/windmill-labs/windmill/blob/main/CLAUDE.md,main,14838.0,813.0,2022-05-05T02:21:17Z,2025-10-18T07:47:33Z,2025-10-18T13:54:10Z,,5,2025-05-20T11:53:34Z,windmill-labs/windmill/CLAUDE.md,claude,21.0,,81,837,,System Overview,Implementation Details,Documentation & References,,,,,,,,,,,,,81,,System Overview,Implementation Details,Documentation & References,,,,,,,,,,,,
