repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
ast-grep,ast-grep,https://github.com/ast-grep/ast-grep,42.18836634817061,57.03254850088186,57.19069298691693
ast-grep,ast-grep.github.io,https://github.com/ast-grep/ast-grep.github.io,36.417202797202805,53.83516460485771,55.389373266721066
mlco2,codecarbon,https://github.com/mlco2/codecarbon,22.33646704949413,37.42349708923453,36.15039943733245
catalystneuro,neuroconv,https://github.com/catalystneuro/neuroconv,50.44335047468357,58.57763832658571,63.75000000000003
Chainlit,chainlit,https://github.com/Chainlit/chainlit,39.92909090909095,53.12787969624304,58.760803693570466
hemilabs,ui-monorepo,https://github.com/hemilabs/ui-monorepo,15.41500000000002,42.94161764705885,
valkey-io,valkey-glide,https://github.com/valkey-io/valkey-glide,31.427692307692325,48.04077138849934,43.86846692930271
baynezy,Html2Markdown,https://github.com/baynezy/Html2Markdown,48.173463768115965,55.9317700087951,57.95380257232276
humanwhocodes,crosspost,https://github.com/humanwhocodes/crosspost,19.67419117647063,39.49562171014156,41.449084631207796
ohcnetwork,care_fe,https://github.com/ohcnetwork/care_fe,6.964659578741276,32.08535307958067,32.95625000000001
realtvop,SaltNet,https://github.com/realtvop/SaltNet,67.54038461538464,75.40256944444448,
meza,minecraft-mod-manager,https://github.com/meza/minecraft-mod-manager,22.866903177329363,40.45282025564475,39.91009900990099
meza,Stonecraft,https://github.com/meza/Stonecraft,29.97531109818908,42.717438474159195,42.343500000000034
OWASP,wrongsecrets,https://github.com/OWASP/wrongsecrets,-0.0650970602332563,23.73066005471955,21.505151190794805
mysql-net,MySqlConnector,https://github.com/mysql-net/MySqlConnector,38.81727272727275,53.40299145299147,46.11053140096618
yulin0629,github-copilot-tutorial,https://github.com/yulin0629/github-copilot-tutorial,47.37549065420564,76.50000000000001,
luno,luno-mcp,https://github.com/luno/luno-mcp,-27.333630136986272,41.044442591890885,42.50820582877961
chrisreddington,validate-file-exists,https://github.com/chrisreddington/validate-file-exists,43.44263715826671,55.76432723135798,52.29553781790159
Humanizr,Humanizer,https://github.com/Humanizr/Humanizer,27.042243902439026,39.87665663716817,46.472104712618375
digitarald,vscode-agent-todos,https://github.com/digitarald/vscode-agent-todos,10.58282981280638,34.9491700605619,31.178516203772574
dsccommunity,SqlServerDsc,https://github.com/dsccommunity/SqlServerDsc,-19.6754545454545,11.339285714285722,
opensource-observer,oso,https://github.com/opensource-observer/oso,-248.49111510791363,26.58358028685433,28.04205306677835
steipete,mcp-agentify,https://github.com/steipete/mcp-agentify,36.62000000000003,36.62000000000003,
marcominerva,PdfSmith,https://github.com/marcominerva/PdfSmith,46.61381696428572,50.909931742725774,56.91387483901184
saas-factory-labs,Saas-Factory,https://github.com/saas-factory-labs/Saas-Factory,43.47303326810177,55.02475816023741,49.85440615835779
aztfmod,terraform-provider-azurecaf,https://github.com/aztfmod/terraform-provider-azurecaf,80.33367816091955,80.33367816091955,
ewolff,software-architektur.tv,https://github.com/ewolff/software-architektur.tv,28.391650297234463,44.801625536480714,44.41607253266713
monarch-initiative,mondo,https://github.com/monarch-initiative/mondo,121.22000000000004,121.22000000000003,
krissen,polleninformation,https://github.com/krissen/polleninformation,12.838153633491316,27.712900536033374,26.459545454545463
dvcrn,mcp-server-siri-shortcuts,https://github.com/dvcrn/mcp-server-siri-shortcuts,65.13125000000002,68.38375000000002,
nais,unleasherator,https://github.com/nais/unleasherator,30.078805031446564,31.11500000000001,27.981666666666683
vltpkg,vltpkg,https://github.com/vltpkg/vltpkg,19.26035714285717,54.89588634630056,56.73437161607876
M-CreativeLab,jsar-runtime,https://github.com/M-CreativeLab/jsar-runtime,32.609217115689404,49.897983031674244,49.08529068798936
equalizedigital,accessibility-checker,https://github.com/equalizedigital/accessibility-checker,10.753228573770002,36.089397202150934,38.48318035426732
coder13,Competitor-groups,https://github.com/coder13/Competitor-groups,36.76408352017941,45.22328571428571,47.965678733031694
bitbound,ControlR,https://github.com/bitbound/ControlR,-1.1016252685101904,31.63878999797393,32.27674299400127
pardeike,Harmony,https://github.com/pardeike/Harmony,38.73871722846442,50.69133064516129,
tcheeric,nostr-java,https://github.com/tcheeric/nostr-java,-586.185857142857,60.57324510412553,70.84036661264625
projectcalico,calico,https://github.com/projectcalico/calico,35.991853190428714,46.99150618048316,42.634473424419525
Vaiz,rust-mcp-server,https://github.com/Vaiz/rust-mcp-server,16.108043478260868,38.686761797362976,37.35878941254566
